value
1
2
2
4
4
4
4
8
8
8
8
8
13
13
13
13
13
13
13
13
21
21
23
23
25
25
25
25
25
30
30
30
33
33
33
36
36
36
36
36
41
42
42
44
44
44
44
44
44
44
51
51
51
51
51
51
57
57
57
57
57
57
57
65
65
67
67
67
67
71
71
71
71
71
71
77
77
77
80
80
80
83
83
85
85
85
88
88
88
91
91
91
91
95
95
97
97
97
100
100
102
102
102
102
102
102
102
109
110
110
112
112
112
112
116
117
118
119
119
121
122
123
123
125
